id,name,address,zip-code,city,country,lat,long
1,Bazylika Mariacka - Zakrystia,Plac Mariacki 5,31_042,Kraków,Poland,,
2,Centrum Jana Pawla II - Hol parter,ul. Totus Tuus 32,30_443,Kraków,Poland,,
3,Dom Jana Matejki - Hol parter,ul. Floriańska 41,30_001,Kraków,Poland,,
4,Galeria Sztuki Polskiej XIX w. w Sukiennicach - Muzeum Narodowe w Krakowie - pomieszczenie ochrony,Rynek Główny 3,31_042,Kraków,Poland,,
5,Grodzki Urząd Pracy - pomieszczenie ochrony,ul. Wąwozowa 34,30_001,Kraków,Poland,,
6,Hotel Ester - obok Recepcji,ul. Szeroka 20,31_053,Kraków,Poland,,
7,Małopolski Ośrodek Ruchu Drogowego - Hol,ul. Nowohucka 33a,30_728,Kraków,Poland,,
8,Międzynarodowy Port Lotniczy Kraków-Balice - Hala odlotów - poziom 1 - kontrola paszportowa do strefy NON SCHENGEN,ul. Medweckiego 1,32_084,Kraków,Poland,,
9,Międzynarodowy Port Lotniczy Kraków-Balice - PUNKT VISITORS CENTRE - poziom 0,ul. Medweckiego 1,32_085,Kraków,Poland,,
10,Międzynarodowy Port Lotniczy Kraków-Balice - TERMINAL VIP - poziom 0 - Recepcja,ul. Medweckiego 1,32_083,Kraków,Poland,,
11,Muzeum im. Emeryka Hutten-Czapskiego - Hol poziom -1,ul. Piłsudskiego 12,31_109,Kraków,Poland,,
12,Nowohuckie Centrum Kultury - pomieszczenie ochrony,Al. Jana Pawła II 232,31_913,Kraków,Poland,,
13,Pawilon Wystawienniczo-Informacyjny Wyspiański 2000,Plac Wszystkich Świętych 2,31_004,Kraków,Poland,,
14,Polskie Koleje Państwowe - Biuro dworca PKP-INFO,Plac Im. Nowaka-Jeziorańskiego 3,30_001,Kraków,Poland,,
15,Polskie Koleje Państwowe - Hol k/Globusa,Plac Im. Nowaka-Jeziorańskiego 3,30_001,Kraków,Poland,,
16,Prokuratura Okręgowa w Krakowie - Hol parter,Osiedle Stalowe 16D,31_922,Kraków,Poland,,
17,Prokuratura Okręgowa w Krakowie - pomieszczenie ochrony,ul. Mosiężnicza 2,30_001,Kraków,Poland,,
18,Prokuratura Okręgowa w Krakowie - pomieszczenie ochrony,Osiedle Kościuszkowskie 2,31_858,Kraków,Poland,,
19,Regionalny Dworzec Autobusowy - Dyżurka kierowców,ul. Bosacka 18,31_505,Kraków,Poland,,
20,Regionalny Dworzec Autobusowy - Hol,ul. Bosacka 18,31_505,Kraków,Poland,,
21,Sanktuarium Miłosierdzia Bożego w Łagiewnikach,ul. Siostry Faustyny 3,30_420,Kraków,Poland,,
22,Straż Miejska Krakowa - na wyposażeniu radiowozu,ul. Dobrego Pasterza 116,30_001,Kraków,Poland,,
23,Sąd Okręgowy w Krakowie - pomieszczenie ochrony,ul. Przy Rondzie 7,31_547,Kraków,Poland,,
24,Urząd Miasta Krakowa - Wydz. Architektury - Hol parter,Rynek Podgórski 1,30_001,Kraków,Poland,,
25,Urząd Miasta Krakowa - pomieszczenie ochrony,Aleja Powstania Warszawskiego 10,30_962,Kraków,Poland,,
26,Urząd Miasta Krakowa - pomieszczenie ochrony,Osiedle Zgody 2,31_949,Kraków,Poland,,
27,Urząd Miasta Krakowa - pomieszczenie ochrony,ul. Wielicka 28,30_552,Kraków,Poland,,
28,Urząd Skarbowy - Kraków Śródmieście - Portiernia,ul. Krowoderskich Zuchów 2,31_272,Kraków,Poland,,
29,Wojewódzka Biblioteka Publiczna - Hol parter,ul. Rajska 1,31_124,Kraków,Poland,,
30,Zakład Ubezpieczeń Społecznych - pomieszczenie ochrony,ul. Pędzichów 27,31_080,Kraków,Poland,,
