"id","name","address","zip.code","city","country","lat","long"
1,"Bazylika Mariacka - Zakrystia","Plac Mariacki 5","31_042","Kraków","Poland","50.06142","19.94006"
2,"Centrum Jana Pawla II - Hol parter","ul. Totus Tuus 32","30_443","Kraków","Poland","50.01287","19.93638"
3,"Dom Jana Matejki - Hol parter","ul. Floriańska 41","30_001","Kraków","Poland","50.0639","19.94082"
4,"Galeria Sztuki Polskiej XIX w. w Sukiennicach - Muzeum Narodowe w Krakowie - pomieszczenie ochrony","Rynek Główny 3","31_042","Kraków","Poland","50.06172","19.93757"
5,"Grodzki Urząd Pracy - pomieszczenie ochrony","ul. Wąwozowa 34","30_001","Kraków","Poland","50.08618","20.0593"
6,"Hotel Ester - obok Recepcji","ul. Szeroka 20","31_053","Kraków","Poland","50.05197","19.94862"
7,"Małopolski Ośrodek Ruchu Drogowego - Hol","ul. Nowohucka 33a","30_728","Kraków","Poland","50.05129","19.9914"
8,"Międzynarodowy Port Lotniczy Kraków-Balice - Hala odlotów - poziom 1 - kontrola paszportowa do strefy NON SCHENGEN","ul. Medweckiego 1","32_084","Kraków","Poland","50.07515","20.01766"
9,"Międzynarodowy Port Lotniczy Kraków-Balice - PUNKT VISITORS CENTRE - poziom 0","ul. Medweckiego 1","32_085","Kraków","Poland","50.07515","20.01766"
10,"Międzynarodowy Port Lotniczy Kraków-Balice - TERMINAL VIP - poziom 0 - Recepcja","ul. Medweckiego 1","32_083","Kraków","Poland","50.07515","20.01766"
11,"Muzeum im. Emeryka Hutten-Czapskiego - Hol poziom -1","ul. Piłsudskiego 12","31_109","Kraków","Poland","50.05995","19.93002"
12,"Nowohuckie Centrum Kultury - pomieszczenie ochrony","Al. Jana Pawła II 232","31_913","Kraków","Poland","50.07025","20.03472"
13,"Pawilon Wystawienniczo-Informacyjny Wyspiański 2000","Plac Wszystkich Świętych 2","31_004","Kraków","Poland","50.058697","19.9374741"
14,"Polskie Koleje Państwowe - Biuro dworca PKP-INFO","Plac Im. Nowaka-Jeziorańskiego 3","30_001","Kraków","Poland","50.0655311","19.9469949"
15,"Polskie Koleje Państwowe - Hol k/Globusa","Plac Im. Nowaka-Jeziorańskiego 3","30_001","Kraków","Poland","50.0655311","19.9469949"
16,"Prokuratura Okręgowa w Krakowie - Hol parter","Osiedle Stalowe 16D","31_922","Kraków","Poland","50.07443","20.05178"
17,"Prokuratura Okręgowa w Krakowie - pomieszczenie ochrony","ul. Mosiężnicza 2","30_001","Kraków","Poland","50.06515","19.9629"
18,"Prokuratura Okręgowa w Krakowie - pomieszczenie ochrony","Osiedle Kościuszkowskie 2","31_858","Kraków","Poland","50.08415","20.01753"
19,"Regionalny Dworzec Autobusowy - Dyżurka kierowców","ul. Bosacka 18","31_505","Kraków","Poland","50.06783","19.94973"
20,"Regionalny Dworzec Autobusowy - Hol","ul. Bosacka 18","31_505","Kraków","Poland","50.06783","19.94973"
21,"Sanktuarium Miłosierdzia Bożego w Łagiewnikach","ul. Siostry Faustyny 3","30_420","Kraków","Poland","50.0217","19.93684"
22,"Straż Miejska Krakowa - na wyposażeniu radiowozu","ul. Dobrego Pasterza 116","30_001","Kraków","Poland","50.08852","19.97441"
23,"Sąd Okręgowy w Krakowie - pomieszczenie ochrony","ul. Przy Rondzie 7","31_547","Kraków","Poland","50.06314","19.96178"
24,"Urząd Miasta Krakowa - Wydz. Architektury - Hol parter","Rynek Podgórski 1","30_001","Kraków","Poland","50.04466","19.94984"
25,"Urząd Miasta Krakowa - pomieszczenie ochrony","Aleja Powstania Warszawskiego 10","30_962","Kraków","Poland","50.06195","19.96101"
26,"Urząd Miasta Krakowa - pomieszczenie ochrony","Osiedle Zgody 2","31_949","Kraków","Poland","50.07694","20.032"
27,"Urząd Miasta Krakowa - pomieszczenie ochrony","ul. Wielicka 28","30_552","Kraków","Poland","50.0387195","19.9663175"
28,"Urząd Skarbowy - Kraków Śródmieście - Portiernia","ul. Krowoderskich Zuchów 2","31_272","Kraków","Poland","50.08475","19.9309"
29,"Wojewódzka Biblioteka Publiczna - Hol parter","ul. Rajska 1","31_124","Kraków","Poland","50.06488","19.92963"
30,"Zakład Ubezpieczeń Społecznych - pomieszczenie ochrony","ul. Pędzichów 27","31_080","Kraków","Poland","50.07178","19.93937"
